STORE NAME,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,CENSUS TRACT,LATITUDE,LONGITUDE
200 LIQUORS,5000,B,204 E 47TH ST,60653,17031381500,41.8094238941,-87.6209518020
3600 COMMISSARY,3800,B,3600 N LAKE SHORE DR,60613,17031060900,41.9486836744,-87.6436497585
4343 PETES FRESH MARKET,57000,A,4343 S PULASKI RD,60632,17031570100,41.8139143113,-87.7236649419
4700 PETE'S FRESH MARKET,45000,A,4700 S KEDZIE AVE,60632,17031842800,41.8080472717,-87.7041188223
5659 W. DIVERSEY,4000,B,5659 W DIVERSEY AVE,60639,17031190602,41.9311354035,-87.7686121306
"7400 S HALSTED FOOD AND LIQUORS, INC.",10001,A,7400 S HALSTED ST,60621,17031681300,41.7596745819,-87.6444202389
79 FOOD BASKET,3000,B,1351 W 79TH ST,60620,17031710700,41.7503211206,-87.6581890529
AARAY GROCERY,10001,A,2601 N HALSTED ST,60614,17031070200,41.9292098170,-87.6487462650
A & B FOOD MARKET INC,10001,A,5057 W DIVISION ST,60651,17031251100,41.9021664421,-87.7531823487
ADA FOODS,4500,B,1281 W 71ST ST,60636,17031671800,41.7648941814,-87.6573078048
ADAMS FOOD MART,2500,B,559 N LARAMIE AVE,60644,17031251600,41.8910335471,-87.7553096457
A & G LIQUORS,4800,B,6945 S STATE ST,60637,17031690400,41.7678312792,-87.6247659397
AL BAYAN GROCERY INC.,2500,B,3134 N NARRAGANSETT AVE,60634,17031831500,41.9375646502,-87.7860543686
ALDI,15680,A,6221 N BROADWAY,60660,17031030103,41.9952114602,-87.6602779929
ALDI,16615,A,6621 S COTTAGE GROVE AVE,60637,17031420800,41.7743058812,-87.6056480253
ALDI #28,15154,A,4934 S KEDZIE AVE,60632,17031630300,41.8034457131,-87.7039862718
ALDI #30,15154,A,3030 S KEDZIE AVE,60623,17031840800,41.8381141517,-87.7049944648
ALDI #32,16924,A,1840 N CLYBOURN AVE,60614,17031832600,41.9144237141,-87.6546278430
ALDI #70,18263,A,7627 S ASHLAND AVE,60620,17031710300,41.7549909175,-87.6634041558
ALDI #79,15150,A,7800 S SOUTH CHICAGO AVE,60619,17031834300,41.7527456405,-87.5875234853
ALDI FOODS #91,15565,A,3835 W MADISON ST,60624,17031260800,41.8806594115,-87.7221936689
ALDI FOODS -STORE #04,12500,A,800 N KEDZIE AVE,60651,17031836600,41.8956153135,-87.7067053251
ALDI FOODS STORE #2,15600,A,4645 W DIVERSEY AVE,60639,17031190900,41.9314609382,-87.7437173070
ALDI FOODS STORE #26,15540,A,2600 N CLYBOURN AVE,60614,17031070700,41.9286950012,-87.6741950831
ALDI FOODS-STORE #27,12300,A,3363 N MILWAUKEE AVE,60641,17031161300,41.9423835134,-87.7290108595
ALDI FOODS STORE #30,14860,A,4030 W WRIGHTWOOD AVE,60639,17031220702,41.9282078544,-87.7281585580
ALDI FOODS STORE #90B,15565,A,2828 N CENTRAL AVE,60634,17031190402,41.9321576791,-87.7664245988
ALDI INC #06,14000,A,5001 N PULASKI RD,60630,17031140302,41.9719812207,-87.7279868979
ALDI INC #10,15540,A,4501 S PULASKI RD,60632,17031570100,41.8114515422,-87.7235746544
ALDI INC #53,13981,A,5775 S ARCHER AVE,60638,17031560700,41.7963804895,-87.7573475722
ALDI INC #58,12571,A,2431 W MONTROSE AVE,60618,17031050300,41.9611940986,-87.6899669704
ALDI INC # 62,12646,A,6220 N CALIFORNIA AVE,60659,17031020702,41.9946209588,-87.6996868624
ALDI INC #64,11760,A,1767 N MILWAUKEE AVE,60647,17031831000,41.9135877900,-87.6822028354
ALDI INC #83,16300,A,8333 S CICERO AVE,60652,17031700302,41.7409110654,-87.7409228594
ALDI INC #92,19410,A,620 W 63RD ST,60621,17031680900,41.7799200473,-87.6409255107
ALDI INC.#94,10001,A,6025 S WESTERN AVE,60636,17031835000,41.7839658423,-87.6836233778
ALDI INC. #96,16117,A,821 W 115TH ST,60643,17031530300,41.6849606404,-87.6430223096
ALDI INC STORE 14,15000,A,5629 W FILLMORE ST,60644,17031831400,41.8673156479,-87.7655979430
ALDI INC STORE #16,20848,A,1246 E 87TH ST,60619,17031834300,41.7369153460,-87.5936566218
ALDI INC STORE #62,9495,B,1739 W CERMAK RD,60608,17031843200,41.8521511995,-87.6700746019
ALDI INC STORE #90,16340,A,9017 S HALSTED ST,60620,17031711500,41.7302972736,-87.6433090924
ALDI INC STORE #95,37000,A,2333 E 95TH ST,60617,17031510300,41.7224662420,-87.5666730521
ALDI'S,11179,A,6520 W FULLERTON AVE,60707,17031831500,41.9237604017,-87.7887477626
ALDI'S,15255,A,4500 N BROADWAY,60640,17031830700,41.9637889643,-87.6566064924
ALDI'S #08,16890,A,7333 S STATE ST,60619,17031691000,41.7608808720,-87.6246657846
