GEO_ID;GEO_NAME;POP_TOTAL;POP_ME;HH_TOTAL;HH_ME;PCT_ALL_AU;PCT_ALL_CA;PCT_ALL_TR;PCT_ALL_BI;PCT_ALL_WA;PCT_ALL_TE;DOM_CALC;DOM_C_M_CO;PCT_0_VA;NO_0_VA;ME_0_VA;PCT_1_VA;NO_1_VA;ME_1_VA;PCT_2_VA;NO_2_VA;ME_2_VA;PCT_3_VA;NO_3_VA;ME_3_VA
17031010100;Census Tract 101, Cook County, Illinois;2299;410;2664;39;34;13;39;1;4;9;39;TRANSIT;45;1009;190;44;980;202;11;236;114;1;16;25
17031010201;Census Tract 102.01, Cook County, Illinois;3360;425;2984;84;47;12;30;4;3;3;47;DRIVE;17;440;150;62;1604;199;17;430;134;4;99;70
17031010202;Census Tract 102.02, Cook County, Illinois;1167;234;1249;34;32;3;48;1;10;6;48;TRANSIT;40;431;116;47;510;100;11;121;67;2;23;24
17031010300;Census Tract 103, Cook County, Illinois;2868;334;3278;90;33;10;44;3;2;7;44;TRANSIT;38;1020;197;47;1265;216;12;335;148;3;89;80
17031010400;Census Tract 104, Cook County, Illinois;1896;272;2239;82;31;10;42;4;2;10;42;TRANSIT;44;814;170;40;749;157;15;271;113;1;22;27
17031010501;Census Tract 105.01, Cook County, Illinois;2324;294;2580;64;36;0;53;1;3;6;53;TRANSIT;38;854;212;52;1168;212;9;197;79;1;27;30
17031010502;Census Tract 105.02, Cook County, Illinois;2067;412;1971;71;25;11;50;0;12;3;50;TRANSIT;43;712;205;41;677;183;14;236;140;2;41;43
17031010503;Census Tract 105.03, Cook County, Illinois;1196;264;1334;29;39;3;37;5;15;1;39;DRIVE;52;597;141;29;337;100;11;130;79;7;86;59
17031010600;Census Tract 106, Cook County, Illinois;3561;327;3253;80;38;3;46;3;4;6;46;TRANSIT;32;993;192;56;1752;206;12;376;123;0;14;23
17031010701;Census Tract 107.01, Cook County, Illinois;2175;265;1642;75;49;7;27;4;4;8;49;DRIVE;12;192;86;59;918;147;25;383;111;4;62;52
17031010702;Census Tract 107.02, Cook County, Illinois;2760;374;2264;35;38;10;34;4;11;3;38;DRIVE;37;689;173;41;757;152;16;295;98;6;103;77
17031020100;Census Tract 201, Cook County, Illinois;1669;291;1635;65;62;11;19;2;4;2;62;DRIVE;24;346;122;54;790;148;19;270;109;3;47;38
17031020200;Census Tract 202, Cook County, Illinois;2870;466;2112;51;70;5;13;1;1;10;70;DRIVE;5;103;84;32;628;176;46;882;151;17;322;157
17031020301;Census Tract 203.01, Cook County, Illinois;1757;228;2201;45;73;7;12;2;3;3;73;DRIVE;22;420;108;39;756;144;32;619;104;7;138;77
17031020302;Census Tract 203.02, Cook County, Illinois;2019;417;1804;85;60;18;14;2;3;3;60;DRIVE;17;277;132;42;671;145;33;527;129;7;110;62
17031020400;Census Tract 204, Cook County, Illinois;2228;240;1868;23;63;9;18;2;5;3;63;DRIVE;13;227;80;54;927;144;28;483;132;4;68;41
17031020500;Census Tract 205, Cook County, Illinois;2409;423;2409;64;50;9;18;2;15;5;50;DRIVE;31;661;156;39;830;177;22;472;165;7;140;104
17031020601;Census Tract 206.01, Cook County, Illinois;2483;366;2184;40;54;7;23;3;8;5;54;DRIVE;18;324;126;40;719;176;33;580;151;9;161;88
17031020602;Census Tract 206.02, Cook County, Illinois;1704;247;1503;74;53;7;20;8;6;7;53;DRIVE;15;207;93;50;683;144;30;419;134;5;68;52
17031020701;Census Tract 207.01, Cook County, Illinois;916;206;716;57;80;9;5;0;2;5;80;DRIVE;17;110;73;23;146;47;47;298;92;13;84;67
17031020702;Census Tract 207.02, Cook County, Illinois;3275;446;2600;40;59;13;20;0;7;1;59;DRIVE;17;403;161;46;1100;222;27;642;177;10;240;103
17031020801;Census Tract 208.01, Cook County, Illinois;2413;359;2232;94;70;16;11;2;0;2;70;DRIVE;8;158;113;62;1205;220;27;531;177;3;52;52
17031020802;Census Tract 208.02, Cook County, Illinois;2929;520;2403;71;60;9;22;0;9;0;60;DRIVE;23;467;171;44;874;202;24;474;161;9;180;115
17031020901;Census Tract 209.01, Cook County, Illinois;2405;396;2166;65;53;9;14;6;13;4;53;DRIVE;17;313;130;54;976;171;25;449;153;4;70;61
17031020902;Census Tract 209.02, Cook County, Illinois;1864;272;1737;38;52;12;25;4;5;2;52;DRIVE;21;325;104;51;776;150;24;364;125;4;57;55
17031030101;Census Tract 301.01, Cook County, Illinois;2105;277;2513;26;27;2;56;8;4;3;56;TRANSIT;52;1215;234;39;914;210;7;162;93;2;36;38
17031030102;Census Tract 301.02, Cook County, Illinois;1800;277;2054;88;34;5;57;2;2;1;57;TRANSIT;48;927;182;42;810;167;6;124;80;3;56;83
17031030103;Census Tract 301.03, Cook County, Illinois;1008;280;1158;103;22;9;61;1;6;0;61;TRANSIT;52;584;135;45;506;153;2;28;23;1;14;22
17031030104;Census Tract 301.04, Cook County, Illinois;999;223;1317;78;30;9;41;1;7;11;41;TRANSIT;56;674;149;39;473;127;5;62;63;0;0;11
17031030200;Census Tract 302, Cook County, Illinois;3252;396;2664;84;39;8;39;3;4;7;39;DRIVE;26;638;199;52;1284;227;20;492;150;2;52;44
17031030300;Census Tract 303, Cook County, Illinois;1561;233;1548;43;48;8;25;8;8;3;48;DRIVE;26;352;96;52;715;119;21;291;88;1;15;15
17031030400;Census Tract 304, Cook County, Illinois;1320;196;1355;60;45;5;32;7;6;5;45;DRIVE;31;381;111;45;555;99;22;272;87;3;37;29
17031030500;Census Tract 305, Cook County, Illinois;3865;388;3152;109;37;10;36;4;7;6;37;DRIVE;27;747;186;50;1401;239;21;579;169;2;68;59
17031030601;Census Tract 306.01, Cook County, Illinois;1774;263;2340;76;42;2;45;7;2;2;45;TRANSIT;48;890;181;37;684;165;13;247;146;1;22;28
17031030603;Census Tract 306.03, Cook County, Illinois;1178;145;1410;100;18;11;53;4;12;1;53;TRANSIT;71;864;145;22;269;82;7;89;62;0;0;11
17031030604;Census Tract 306.04, Cook County, Illinois;1830;178;2196;54;32;8;48;2;3;7;48;TRANSIT;50;962;170;47;905;171;2;45;45;0;0;11
17031030701;Census Tract 307.01, Cook County, Illinois;1069;129;973;22;12;3;70;2;7;7;70;TRANSIT;44;424;86;46;434;100;9;89;47;1;6;10
17031030702;Census Tract 307.02, Cook County, Illinois;778;114;1159;16;41;12;40;0;4;3;41;DRIVE;30;307;126;57;582;126;13;132;85;0;0;11
17031030703;Census Tract 307.03, Cook County, Illinois;1325;225;1846;90;31;4;51;3;4;8;51;TRANSIT;54;871;165;40;646;130;6;94;61;1;9;15
17031030706;Census Tract 307.06, Cook County, Illinois;2071;283;2614;28;34;4;54;2;2;2;54;TRANSIT;57;1288;214;41;936;164;2;45;37;0;0;11
17031030800;Census Tract 308, Cook County, Illinois;2429;295;2300;45;38;8;30;7;8;9;38;DRIVE;17;331;112;57;1144;202;23;467;137;3;61;37
17031030900;Census Tract 309, Cook County, Illinois;2042;261;1519;70;44;10;25;2;10;10;44;DRIVE;15;216;72;56;803;123;24;347;89;5;66;59
17031031000;Census Tract 310, Cook County, Illinois;2227;273;2099;69;41;9;32;7;3;9;41;DRIVE;20;341;120;57;990;149;21;371;113;1;24;37
17031031100;Census Tract 311, Cook County, Illinois;3055;448;2497;70;28;16;40;6;1;8;40;TRANSIT;33;735;192;52;1167;160;15;333;122;0;0;11
17031031200;Census Tract 312, Cook County, Illinois;2120;405;3242;51;34;8;43;3;8;4;43;TRANSIT;57;1549;184;32;874;176;9;249;133;1;24;39
17031031300;Census Tract 313, Cook County, Illinois;3664;456;4013;132;36;2;43;4;8;6;43;TRANSIT;45;1728;288;41;1544;259;14;522;163;0;13;23
17031031400;Census Tract 314, Cook County, Illinois;3557;301;3374;83;39;3;44;3;2;8;44;TRANSIT;34;1085;224;53;1682;272;11;359;142;2;50;44
17031031501;Census Tract 315.01, Cook County, Illinois;1425;222;1890;90;33;5;49;1;6;7;49;TRANSIT;37;572;115;43;659;124;20;304;129;0;0;11
17031031502;Census Tract 315.02, Cook County, Illinois;2244;359;2465;59;27;2;52;9;4;5;52;TRANSIT;58;1312;193;35;797;195;7;148;83;0;10;17
