Name,License Description,Application Type,License Term Start Date,License Term Expiration Date,Date Issued,Latitude,Longitude,Location
Katherine Kochones,Peddler License,Issue,02-11-2015,02-15-2017,02-11-2015,41.87253006,-87.65410984,"(41.8725300546713, -87.65410984138609)"
"Hebron Wireless, Inc.",Limited Business License,Renew,05-16-2014,05-15-2016,06-17-2014,41.90976084,-87.74373358,"(41.90976084344337, -87.74373358114335)"
Citi Tax Refund,Limited Business License,Issue,02-11-2015,02-15-2017,02-11-2015,42.01949493,-87.67304878,"(42.0194949312092, -87.67304877836746)"
"Pita Kabab, Inc.",Retail Food Establishment,Renew,02-16-2015,02-15-2017,02-11-2015,41.98497207,-87.6990721,"(41.984972071174575, -87.69907209888437)"
1000 Liquors / Big City Tap,Late Hour,Renew,02-16-2015,02-15-2017,02-13-2015,41.94002036,-87.65417211,"(41.940020360226804, -87.65417210636889)"
"Monticello Fish & Chicken, Inc.",Tobacco Retail Over Counter,Issue,02-13-2015,01-15-2017,02-13-2015,41.8989884,-87.71771523,"(41.89898839629317, -87.71771523169723)"
"New China Express, Inc",Retail Food Establishment,Renew,12-16-2014,12-15-2016,11-17-2014,41.76599,-87.57378734,"(41.765990001140594, -87.57378733665412)"
1000 Liquors / Big City Tap,Tobacco Retail Over Counter,Renew,02-16-2015,02-15-2017,02-13-2015,41.94002036,-87.65417211,"(41.940020360226804, -87.65417210636889)"
Ultimate Grooming Barber Shop,Limited Business License,Renew,02-16-2015,02-15-2017,02-13-2015,41.69136398,-87.64220588,"(41.69136397791964, -87.64220588048701)"
Madni Mart U.S.A. Inc.,Tobacco Retail Over Counter,Renew,02-16-2015,02-15-2017,02-13-2015,41.9978144,-87.69150611,"(41.99781439642854, -87.69150610963688)"
Premier Consulting Inc,Regulated Business License,Renew,05-16-2014,05-15-2016,05-15-2014,41.88146303,-87.65966035,"(41.88146302536488, -87.65966034955883)"
"The Pleasure Chest, Ltd.",Limited Business License,Renew,02-16-2015,02-15-2017,02-17-2015,41.9442047,-87.67198581,"(41.944204703698695, -87.67198580670397)"
Wyndham Grand Chicago Riverfront,Consumption on Premises - Incidental Activity,Renew,04-16-2015,02-15-2017,02-20-2015,41.88775652,-87.62551819,"(41.88775652273528, -87.62551819161445)"
The Road Less Traveled,Limited Business License,Renew,04-16-2015,04-15-2017,02-27-2015,41.92402692,-87.67576825,"(41.92402691677877, -87.67576824945708)"
Montrose Bp,Retail Food Establishment,Renew,10-16-2013,10-15-2015,09-12-2013,41.9603335,-87.7864091,"(41.960333497623814, -87.78640909762449)"
"Ace Services, Inc",Limited Business License,Renew,12-16-2013,12-15-2015,11-21-2013,41.97830937,-87.77032743,"(41.97830936883172, -87.77032743132396)"
Emery Custom Homes Inc.,Regulated Business License,Issue,03-16-2015,04-15-2017,03-16-2015,41.92477459,-87.66901564,"(41.92477459357168, -87.66901563523882)"
Lapaz Restaurant,Retail Food Establishment,Renew,07-16-2014,07-15-2016,06-23-2014,41.72059046,-87.5351424,"(41.720590461950856, -87.53514240131703)"
Mvr Auto Insurance Agency Inc,Limited Business License,Renew,08-16-2013,08-15-2015,07-19-2013,41.93890457,-87.74937225,"(41.938904567312434, -87.74937225152793)"
Asian Outpost,Retail Food Establishment,Issue,11-14-2013,11-15-2015,11-14-2013,41.86535433,-87.62563916,"(41.865354331695414, -87.62563915695526)"
Blue Line,Consumption on Premises - Incidental Activity,Renew,11-16-2014,11-15-2016,10-16-2014,41.90961625,-87.67758847,"(41.90961625043591, -87.6775884711046)"
"Saginaw Wine And Liquors, Inc.",Retail Food Establishment,Renew,07-16-2014,07-15-2016,06-13-2014,41.7444251,-87.56061004,"(41.74442509646372, -87.56061004382433)"
Taylors Touch,Limited Business License,Renew,06-16-2014,06-15-2016,06-09-2014,41.90944499,-87.75164381,"(41.909444990022415, -87.75164380919006)"
El Rey Ballroom,Public Place of Amusement,Renew,05-16-2014,05-15-2016,07-18-2014,41.83007369,-87.68517427,"(41.830073693447986, -87.68517426995787)"
Hardy Aquatics Llc,Animal Care License,Issue,01-28-2015,02-15-2017,01-28-2015,41.67796069,-87.68087183,"(41.677960685765285, -87.68087182814912)"
"Adi'S Heating And Cooling, Inc.",Limited Business License,Renew,12-16-2014,12-15-2016,11-14-2014,41.95368098,-87.71751296,"(41.95368098146842, -87.7175129638273)"
Wellington Cleaners,Limited Business License,Renew,02-16-2015,02-15-2017,02-09-2015,41.93673693,-87.6490075,"(41.9367369263922, -87.64900749630026)"
Dollar Shop,Tobacco Retail Over Counter,Renew,09-16-2013,09-15-2015,09-16-2013,41.96956115,-87.70836227,"(41.96956115059485, -87.7083622651807)"
"Jolie Fleur Flower Boutique, Ltd.",Limited Business License,Renew,03-16-2015,03-15-2017,03-16-2015,41.89168852,-87.62430718,"(41.89168851736832, -87.62430717812579)"
American Girl,Retail Food Establishment,Issue,04-17-2014,04-15-2016,04-17-2014,41.89807992,-87.62394571,"(41.898079920503314, -87.6239457056618)"
Dayjao A Seymour,Peddler License,Issue,07-01-2014,07-15-2016,07-01-2014,42.00926033,-87.66427947,"(42.00926033266988, -87.66427946538155)"
"Howard Food Market, Inc.",Tobacco Retail Over Counter,Issue,01-10-2014,01-15-2016,01-10-2014,41.86631266,-87.72295434,"(41.866312657009566, -87.72295434400583)"
Dorothy Marie Wynn,Peddler License,Renew,09-16-2013,09-15-2015,08-20-2013,41.89851496,-87.71534101,"(41.89851496379249, -87.71534100849412)"
"Vntofu & Fast Food, Inc.",Retail Food Establishment,Issue,03-31-2014,04-15-2016,03-31-2014,41.97340592,-87.65601158,"(41.97340592064704, -87.65601157540186)"
Nomobo Salon,Limited Business License,Issue,05-05-2014,05-15-2016,05-05-2014,41.9075099,-87.66745625,"(41.90750990381674, -87.66745624603142)"
Sofia Martinez,Peddler License,Issue,06-25-2013,07-15-2015,06-25-2013,42.01632702,-87.68032542,"(42.0163270164064, -87.6803254160563)"
Joe Fish,Consumption on Premises - Incidental Activity,Renew,05-16-2015,05-15-2017,04-22-2015,41.89058111,-87.62947503,"(41.890581105655016, -87.62947502886496)"
"Platinium Elegant Hair Salon, P.C.",Limited Business License,Renew,07-16-2014,07-15-2016,08-07-2014,41.707142,-87.6339888,"(41.70714200393677, -87.63398879766343)"
Niedersachsen Club Chicago Inc,Not-For-Profit Club,Renew,09-16-2013,09-15-2015,08-06-2013,41.96438975,-87.68594466,"(41.96438974846776, -87.68594465899979)"
Brix Caterinig & Consulting,Retail Food Establishment,Issue,07-25-2014,08-15-2016,07-25-2014,41.96697754,-87.6666311,"(41.966977535662984, -87.66663109705499)"
