GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC03,Estimate; SEX AND AGE - Total population
HC02_VC03,Margin of Error; SEX AND AGE - Total population
HC03_VC03,Percent; SEX AND AGE - Total population
HC04_VC03,Percent Margin of Error; SEX AND AGE - Total population
HC01_VC32,Estimate; SEX AND AGE - 18 years and over
HC02_VC32,Margin of Error; SEX AND AGE - 18 years and over
HC03_VC32,Percent; SEX AND AGE - 18 years and over
HC04_VC32,Percent Margin of Error; SEX AND AGE - 18 years and over
HC01_VC34,Estimate; SEX AND AGE - 18 years and over - Female
HC02_VC34,Margin of Error; SEX AND AGE - 18 years and over - Female
HC03_VC34,Percent; SEX AND AGE - 18 years and over - Female
HC04_VC34,Percent Margin of Error; SEX AND AGE - 18 years and over - Female
HC01_VC37,Estimate; SEX AND AGE - 65 years and over
HC02_VC37,Margin of Error; SEX AND AGE - 65 years and over
HC03_VC37,Percent; SEX AND AGE - 65 years and over
HC04_VC37,Percent Margin of Error; SEX AND AGE - 65 years and over
HC01_VC39,Estimate; SEX AND AGE - 65 years and over - Female
HC02_VC39,Margin of Error; SEX AND AGE - 65 years and over - Female
HC03_VC39,Percent; SEX AND AGE - 65 years and over - Female
HC04_VC39,Percent Margin of Error; SEX AND AGE - 65 years and over - Female
HC01_VC43,Estimate; RACE - Total population
HC02_VC43,Margin of Error; RACE - Total population
HC03_VC43,Percent; RACE - Total population
HC04_VC43,Percent Margin of Error; RACE - Total population
HC01_VC44,Estimate; RACE - Total population - One race
HC02_VC44,Margin of Error; RACE - Total population - One race
HC03_VC44,Percent; RACE - Total population - One race
HC04_VC44,Percent Margin of Error; RACE - Total population - One race
HC01_VC45,Estimate; RACE - Total population - Two or more races
HC02_VC45,Margin of Error; RACE - Total population - Two or more races
HC03_VC45,Percent; RACE - Total population - Two or more races
HC04_VC45,Percent Margin of Error; RACE - Total population - Two or more races
HC01_VC48,Estimate; RACE - One race
HC02_VC48,Margin of Error; RACE - One race
HC03_VC48,Percent; RACE - One race
HC04_VC48,Percent Margin of Error; RACE - One race
HC01_VC49,Estimate; RACE - One race - White
HC02_VC49,Margin of Error; RACE - One race - White
HC03_VC49,Percent; RACE - One race - White
HC04_VC49,Percent Margin of Error; RACE - One race - White
HC01_VC50,Estimate; RACE - One race - Black or African American
HC02_VC50,Margin of Error; RACE - One race - Black or African American
HC03_VC50,Percent; RACE - One race - Black or African American
HC04_VC50,Percent Margin of Error; RACE - One race - Black or African American
HC01_VC51,Estimate; RACE - One race - American Indian and Alaska Native
