GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC32,HC02_VC32,HC03_VC32,HC04_VC32,HC01_VC34,HC02_VC34,HC03_VC34,HC04_VC34,HC01_VC37,HC02_VC37,HC03_VC37,HC04_VC37,HC01_VC39,HC02_VC39,HC03_VC39,HC04_VC39,HC01_VC43,HC02_VC43,HC03_VC43,HC04_VC43,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC45,HC02_VC45,HC03_VC45,HC04_VC45,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC04_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC04_VC51,HC01_VC55,HC02_VC55,HC03_VC55,HC04_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC04_VC56,HC01_VC63,HC02_VC63,HC03_VC63,HC04_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC04_VC64,HC01_VC68,HC02_VC68,HC03_VC68,HC04_VC68,HC01_VC70,HC02_VC70,HC03_VC70,HC04_VC70,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC104,HC02_VC104,HC03_VC104,HC04_VC104
Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Margin of Error; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Percent Margin of Error; SEX AND AGE - Total population,Estimate; SEX AND AGE - 18 years and over,Margin of Error; SEX AND AGE - 18 years and over,Percent; SEX AND AGE - 18 years and over,Percent Margin of Error; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 18 years and over - Female,Margin of Error; SEX AND AGE - 18 years and over - Female,Percent; SEX AND AGE - 18 years and over - Female,Percent Margin of Error; SEX AND AGE - 18 years and over - Female,Estimate; SEX AND AGE - 65 years and over,Margin of Error; SEX AND AGE - 65 years and over,Percent; SEX AND AGE - 65 years and over,Percent Margin of Error; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - 65 years and over - Female,Margin of Error; SEX AND AGE - 65 years and over - Female,Percent; SEX AND AGE - 65 years and over - Female,Percent Margin of Error; SEX AND AGE - 65 years and over - Female,Estimate; RACE - Total population,Margin of Error; RACE - Total population,Percent; RACE - Total population,Percent Margin of Error; RACE - Total population,Estimate; RACE - Total population - One race,Margin of Error; RACE - Total population - One race,Percent; RACE - Total population - One race,Percent Margin of Error; RACE - Total population - One race,Estimate; RACE - Total population - Two or more races,Margin of Error; RACE - Total population - Two or more races,Percent; RACE - Total population - Two or more races,Percent Margin of Error; RACE - Total population - Two or more races,Estimate; RACE - One race,Margin of Error; RACE - One race,Percent; RACE - One race,Percent Margin of Error; RACE - One race,Estimate; RACE - One race - White,Margin of Error; RACE - One race - White,Percent; RACE - One race - White,Percent Margin of Error; RACE - One race - White,Estimate; RACE - One race - Black or African American,Margin of Error; RACE - One race - Black or African American,Percent; RACE - One race - Black or African American,Percent Margin of Error; RACE - One race - Black or African American,Estimate; RACE - One race - American Indian and Alaska Native,Margin of Error; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - American Indian and Alaska Native,Percent Margin of Error; RACE - One race - American Indian and Alaska Native,Estimate; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping,Margin of Error; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping,Percent; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping,Percent Margin of Error; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping,Estimate; RACE - One race - Asian,Margin of Error; RACE - One race - Asian,Percent; RACE - One race - Asian,Percent Margin of Error; RACE - One race - Asian,Estimate; RACE - One race - Asian - Other Asian,Margin of Error; RACE - One race - Asian - Other Asian,Percent; RACE - One race - Asian - Other Asian,Percent Margin of Error; RACE - One race - Asian - Other Asian,Estimate; RACE - One race - Native Hawaiian and Other Pacific Islander,Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander,Estimate; RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander,Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander,Percent Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander,Estimate; RACE - Two or more races,Margin of Error; RACE - Two or more races,Percent; RACE - Two or more races,Percent Margin of Error; RACE - Two or more races,Estimate; RACE - Two or more races - Black or African American and American Indian and Alaska Native,Margin of Error; RACE - Two or more races - Black or African American and American Indian and Alaska Native,Percent; RACE - Two or more races - Black or African American and American Indian and Alaska Native,Percent Margin of Error; RACE - Two or more races - Black or African American and American Indian and Alaska Native,Estimate; RACE - Race alone or in combination with one or more other races - Total population,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population,Percent; RACE - Race alone or in combination with one or more other races - Total population,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population,Estimate; RACE - Race alone or in combination with one or more other races - Total population - White,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - White,Percent; RACE - Race alone or in combination with one or more other races - Total population - White,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - White,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Percent; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Estimate; HISPANIC OR LATINO AND RACE - Total population,Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,"Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races","Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races","Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races","Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races",Estimate; HISPANIC OR LATINO AND RACE - Total housing units,Margin of Error; HISPANIC OR LATINO AND RACE - Total housing units,Percent; HISPANIC OR LATINO AND RACE - Total housing units,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total housing units
1400000US17001000100,17001000100,"Census Tract 1, Adams County, Illinois",4593,307,4593,(X),3739,251,3739,(X),2123,164,56.8,2.9,1113,143,1113,(X),761,124,68.4,5.9,4593,307,4593,(X),4593,307,100.0,0.6,0,11,0.0,0.6,4593,307,100.0,0.6,4427,323,96.4,4.3,4,10,0.1,0.2,0,11,0.0,0.6,0,11,0.0,0.6,0,11,0.0,0.6,0,11,0.0,0.6,0,11,0.0,0.6,0,11,0.0,0.6,0,11,0.0,0.6,0,11,0.0,0.6,4593,307,4593,(X),4427,323,96.4,4.3,4,10,0.1,0.2,4593,307,4593,(X),200,189,4.4,4.1,162,199,3.5,4.3,4393,320,95.6,4.1,4389,322,95.6,4.1,4,10,0.1,0.2,0,11,0.0,0.6,0,11,0.0,0.6,2229,87,(X),(X)
1400000US17001000201,17001000201,"Census Tract 2.01, Adams County, Illinois",1979,202,1979,(X),1616,138,1616,(X),811,91,50.2,3.5,351,50,351,(X),201,40,57.3,8.5,1979,202,1979,(X),1979,202,100.0,1.5,0,11,0.0,1.5,1979,202,100.0,1.5,1900,207,96.0,2.2,71,40,3.6,2.0,8,12,0.4,0.6,0,11,0.0,1.5,0,11,0.0,1.5,0,11,0.0,1.5,0,11,0.0,1.5,0,11,0.0,1.5,0,11,0.0,1.5,0,11,0.0,1.5,1979,202,1979,(X),1900,207,96.0,2.2,71,40,3.6,2.0,1979,202,1979,(X),13,15,0.7,0.8,13,15,0.7,0.8,1966,204,99.3,0.8,1895,206,95.8,2.3,71,40,3.6,2.0,0,11,0.0,1.5,0,11,0.0,1.5,934,53,(X),(X)
1400000US17001000202,17001000202,"Census Tract 2.02, Adams County, Illinois",2801,253,2801,(X),2197,186,2197,(X),1228,146,55.9,5.4,357,63,357,(X),237,45,66.4,14.7,2801,253,2801,(X),2617,236,93.4,4.5,184,133,6.6,4.5,2617,236,93.4,4.5,2408,265,86.0,6.4,110,60,3.9,2.3,0,11,0.0,1.1,0,11,0.0,1.1,29,35,1.0,1.2,0,11,0.0,1.1,0,11,0.0,1.1,0,11,0.0,1.1,184,133,6.6,4.5,0,11,0.0,1.1,2801,253,2801,(X),2542,285,90.8,5.5,259,133,9.2,4.8,2801,253,2801,(X),83,83,3.0,2.9,83,83,3.0,2.9,2718,257,97.0,2.9,2395,270,85.5,6.5,110,60,3.9,2.3,184,133,6.6,4.5,184,133,6.6,4.5,1109,59,(X),(X)
1400000US17001000400,17001000400,"Census Tract 4, Adams County, Illinois",4095,479,4095,(X),3299,366,3299,(X),1852,220,56.1,4.4,802,110,802,(X),445,99,55.5,11.5,4095,479,4095,(X),4056,467,99.0,1.2,39,50,1.0,1.2,4056,467,99.0,1.2,3597,511,87.8,4.4,427,153,10.4,4.0,0,11,0.0,0.7,0,11,0.0,0.7,13,31,0.3,0.8,0,11,0.0,0.7,0,11,0.0,0.7,0,11,0.0,0.7,39,50,1.0,1.2,0,11,0.0,0.7,4095,479,4095,(X),3636,520,88.8,4.1,433,153,10.6,4.0,4095,479,4095,(X),39,58,1.0,1.4,0,11,0.0,0.7,4056,466,99.0,1.4,3597,511,87.8,4.4,427,153,10.4,4.0,6,9,0.1,0.2,6,9,0.1,0.2,1825,90,(X),(X)
1400000US17001000500,17001000500,"Census Tract 5, Adams County, Illinois",2066,187,2066,(X),1629,152,1629,(X),832,118,51.1,5.0,358,87,358,(X),219,73,61.2,12.1,2066,187,2066,(X),2059,188,99.7,0.6,7,12,0.3,0.6,2059,188,99.7,0.6,1625,163,78.7,6.1,417,149,20.2,6.4,0,11,0.0,1.4,0,11,0.0,1.4,10,18,0.5,0.9,0,11,0.0,1.4,0,11,0.0,1.4,0,11,0.0,1.4,7,12,0.3,0.6,0,11,0.0,1.4,2066,187,2066,(X),1632,162,79.0,6.1,424,149,20.5,6.4,2066,187,2066,(X),7,12,0.3,0.6,7,12,0.3,0.6,2059,185,99.7,0.6,1625,163,78.7,6.1,417,149,20.2,6.4,7,12,0.3,0.6,7,12,0.3,0.6,924,67,(X),(X)
1400000US17001000600,17001000600,"Census Tract 6, Adams County, Illinois",3681,323,3681,(X),2733,210,2733,(X),1422,128,52.0,3.4,543,46,543,(X),352,61,64.8,9.2,3681,323,3681,(X),3654,316,99.3,0.9,27,35,0.7,0.9,3654,316,99.3,0.9,3537,329,96.1,2.5,70,56,1.9,1.6,0,11,0.0,0.8,0,11,0.0,0.8,39,59,1.1,1.6,0,11,0.0,0.8,0,11,0.0,0.8,0,11,0.0,0.8,27,35,0.7,0.9,0,11,0.0,0.8,3681,323,3681,(X),3564,335,96.8,2.3,79,56,2.1,1.5,3681,323,3681,(X),26,39,0.7,1.0,25,39,0.7,1.0,3655,316,99.3,1.0,3537,329,96.1,2.5,70,56,1.9,1.6,9,18,0.2,0.5,9,18,0.2,0.5,1792,56,(X),(X)
1400000US17001000700,17001000700,"Census Tract 7, Adams County, Illinois",1485,195,1485,(X),1274,144,1274,(X),692,106,54.3,6.3,251,70,251,(X),185,53,73.7,10.1,1485,195,1485,(X),1338,187,90.1,5.6,147,88,9.9,5.6,1338,187,90.1,5.6,931,224,62.7,11.7,398,160,26.8,10.9,9,16,0.6,1.0,0,11,0.0,2.0,0,11,0.0,2.0,0,11,0.0,2.0,0,11,0.0,2.0,0,11,0.0,2.0,147,88,9.9,5.6,0,11,0.0,2.0,1485,195,1485,(X),1078,235,72.6,11.0,545,177,36.7,11.7,1485,195,1485,(X),15,13,1.0,0.9,6,12,0.4,0.8,1470,196,99.0,0.9,923,223,62.2,11.7,391,160,26.3,10.9,147,88,9.9,5.6,147,88,9.9,5.6,922,75,(X),(X)
1400000US17001000800,17001000800,"Census Tract 8, Adams County, Illinois",2838,345,2838,(X),2024,284,2024,(X),975,177,48.2,4.9,465,173,465,(X),278,127,59.8,12.3,2838,345,2838,(X),2667,326,94.0,3.5,171,102,6.0,3.5,2667,326,94.0,3.5,2288,371,80.6,8.0,348,217,12.3,7.7,17,27,0.6,1.0,0,11,0.0,1.0,0,11,0.0,1.0,0,11,0.0,1.0,0,11,0.0,1.0,0,11,0.0,1.0,171,102,6.0,3.5,0,11,0.0,1.0,2838,345,2838,(X),2450,398,86.3,7.9,435,213,15.3,7.7,2838,345,2838,(X),31,48,1.1,1.7,31,48,1.1,1.7,2807,341,98.9,1.7,2287,371,80.6,8.0,348,217,12.3,7.7,155,102,5.5,3.5,155,102,5.5,3.5,1270,78,(X),(X)
1400000US17001000900,17001000900,"Census Tract 9, Adams County, Illinois",2512,257,2512,(X),1958,186,1958,(X),1034,107,52.8,4.3,286,56,286,(X),146,44,51.0,11.0,2512,257,2512,(X),2442,265,97.2,2.8,70,69,2.8,2.8,2442,265,97.2,2.8,2269,253,90.3,6.0,157,140,6.3,5.4,0,11,0.0,1.2,0,11,0.0,1.2,16,25,0.6,1.0,0,11,0.0,1.2,0,11,0.0,1.2,0,11,0.0,1.2,70,69,2.8,2.8,0,11,0.0,1.2,2512,257,2512,(X),2339,247,93.1,5.5,214,154,8.5,6.0,2512,257,2512,(X),0,11,0.0,1.2,0,11,0.0,1.2,2512,257,100.0,1.2,2269,253,90.3,6.0,157,140,6.3,5.4,70,69,2.8,2.8,70,69,2.8,2.8,1303,60,(X),(X)
