Id,Id2,Geography,income,moe_income
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",36905,9316
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",40681,6271
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",35724,10379
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",45224,6127
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",44018,14613
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",33427,5493
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",30330,8375
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",18250,5355
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",47610,9587
1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",55682,12327
1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",43304,11448
1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",45888,10019
1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",71307,13658
1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",51694,9060
1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",65682,20226
1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",44755,7962
1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",31576,6075
1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",37260,5259
1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",48636,13092
1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois",72796,19131
1400000US17031020702,17031020702,"Census Tract 207.02, Cook County, Illinois",41050,9779
1400000US17031020801,17031020801,"Census Tract 208.01, Cook County, Illinois",56586,9688
1400000US17031020802,17031020802,"Census Tract 208.02, Cook County, Illinois",50513,14651
1400000US17031020901,17031020901,"Census Tract 209.01, Cook County, Illinois",42725,9499
1400000US17031020902,17031020902,"Census Tract 209.02, Cook County, Illinois",46739,5497
1400000US17031030101,17031030101,"Census Tract 301.01, Cook County, Illinois",37434,9492
1400000US17031030102,17031030102,"Census Tract 301.02, Cook County, Illinois",30794,9704
1400000US17031030103,17031030103,"Census Tract 301.03, Cook County, Illinois",23929,6668
1400000US17031030104,17031030104,"Census Tract 301.04, Cook County, Illinois",24892,15918
1400000US17031030200,17031030200,"Census Tract 302, Cook County, Illinois",61175,11546
1400000US17031030300,17031030300,"Census Tract 303, Cook County, Illinois",34960,10202
1400000US17031030400,17031030400,"Census Tract 304, Cook County, Illinois",50000,5563
1400000US17031030500,17031030500,"Census Tract 305, Cook County, Illinois",61341,6200
1400000US17031030601,17031030601,"Census Tract 306.01, Cook County, Illinois",31721,8553
1400000US17031030603,17031030603,"Census Tract 306.03, Cook County, Illinois",27927,9754
1400000US17031030604,17031030604,"Census Tract 306.04, Cook County, Illinois",40131,6528
1400000US17031030701,17031030701,"Census Tract 307.01, Cook County, Illinois",40587,21310
1400000US17031030702,17031030702,"Census Tract 307.02, Cook County, Illinois",64837,5605
1400000US17031030703,17031030703,"Census Tract 307.03, Cook County, Illinois",28333,13516
1400000US17031030706,17031030706,"Census Tract 307.06, Cook County, Illinois",42804,8514
1400000US17031030800,17031030800,"Census Tract 308, Cook County, Illinois",76354,19418
1400000US17031030900,17031030900,"Census Tract 309, Cook County, Illinois",61148,15598
1400000US17031031000,17031031000,"Census Tract 310, Cook County, Illinois",53361,3472
1400000US17031031100,17031031100,"Census Tract 311, Cook County, Illinois",56369,10681
1400000US17031031200,17031031200,"Census Tract 312, Cook County, Illinois",17727,3789
1400000US17031031300,17031031300,"Census Tract 313, Cook County, Illinois",32189,6067
1400000US17031031400,17031031400,"Census Tract 314, Cook County, Illinois",57460,7001
1400000US17031031501,17031031501,"Census Tract 315.01, Cook County, Illinois",19317,4693
1400000US17031031502,17031031502,"Census Tract 315.02, Cook County, Illinois",26611,9278
1400000US17031031700,17031031700,"Census Tract 317, Cook County, Illinois",45183,6995
1400000US17031031800,17031031800,"Census Tract 318, Cook County, Illinois",54333,29512
1400000US17031031900,17031031900,"Census Tract 319, Cook County, Illinois",61189,10057
1400000US17031032100,17031032100,"Census Tract 321, Cook County, Illinois",40795,4331
1400000US17031040100,17031040100,"Census Tract 401, Cook County, Illinois",65625,16092
1400000US17031040201,17031040201,"Census Tract 402.01, Cook County, Illinois",54155,8958
1400000US17031040202,17031040202,"Census Tract 402.02, Cook County, Illinois",48168,6353
1400000US17031040300,17031040300,"Census Tract 403, Cook County, Illinois",62853,12015
1400000US17031040401,17031040401,"Census Tract 404.01, Cook County, Illinois",64076,12550
1400000US17031040402,17031040402,"Census Tract 404.02, Cook County, Illinois",61860,11932
1400000US17031040600,17031040600,"Census Tract 406, Cook County, Illinois",64402,17323
1400000US17031040700,17031040700,"Census Tract 407, Cook County, Illinois",56172,12001
1400000US17031040800,17031040800,"Census Tract 408, Cook County, Illinois",68929,9740
1400000US17031040900,17031040900,"Census Tract 409, Cook County, Illinois",58750,17833
1400000US17031050100,17031050100,"Census Tract 501, Cook County, Illinois",70772,16216
1400000US17031050200,17031050200,"Census Tract 502, Cook County, Illinois",62821,4964
1400000US17031050300,17031050300,"Census Tract 503, Cook County, Illinois",88565,17214
1400000US17031050500,17031050500,"Census Tract 505, Cook County, Illinois",85189,11079
1400000US17031050600,17031050600,"Census Tract 506, Cook County, Illinois",80060,22377
1400000US17031050700,17031050700,"Census Tract 507, Cook County, Illinois",84042,27435
1400000US17031050800,17031050800,"Census Tract 508, Cook County, Illinois",101607,36436
1400000US17031050900,17031050900,"Census Tract 509, Cook County, Illinois",82000,13823
1400000US17031051000,17031051000,"Census Tract 510, Cook County, Illinois",86333,16430
1400000US17031051100,17031051100,"Census Tract 511, Cook County, Illinois",77770,14337
1400000US17031051200,17031051200,"Census Tract 512, Cook County, Illinois",87813,29869
1400000US17031051300,17031051300,"Census Tract 513, Cook County, Illinois",130885,22123
1400000US17031051400,17031051400,"Census Tract 514, Cook County, Illinois",74811,21171
1400000US17031060100,17031060100,"Census Tract 601, Cook County, Illinois",88893,11960
1400000US17031060200,17031060200,"Census Tract 602, Cook County, Illinois",57978,16334
1400000US17031060300,17031060300,"Census Tract 603, Cook County, Illinois",107052,10149
1400000US17031060400,17031060400,"Census Tract 604, Cook County, Illinois",100970,7659
1400000US17031060500,17031060500,"Census Tract 605, Cook County, Illinois",58393,30437
1400000US17031060800,17031060800,"Census Tract 608, Cook County, Illinois",65058,6807
1400000US17031060900,17031060900,"Census Tract 609, Cook County, Illinois",52654,3713
1400000US17031061000,17031061000,"Census Tract 610, Cook County, Illinois",90602,25293
1400000US17031061100,17031061100,"Census Tract 611, Cook County, Illinois",79063,7103
1400000US17031061200,17031061200,"Census Tract 612, Cook County, Illinois",96842,9578
1400000US17031061500,17031061500,"Census Tract 615, Cook County, Illinois",87679,11545
1400000US17031061800,17031061800,"Census Tract 618, Cook County, Illinois",46601,7078
1400000US17031061901,17031061901,"Census Tract 619.01, Cook County, Illinois",51982,8133
1400000US17031061902,17031061902,"Census Tract 619.02, Cook County, Illinois",53135,9854
1400000US17031062000,17031062000,"Census Tract 620, Cook County, Illinois",74333,14658
1400000US17031062100,17031062100,"Census Tract 621, Cook County, Illinois",69325,15445
1400000US17031062200,17031062200,"Census Tract 622, Cook County, Illinois",106337,15558
1400000US17031062300,17031062300,"Census Tract 623, Cook County, Illinois",98750,16318
1400000US17031062400,17031062400,"Census Tract 624, Cook County, Illinois",103438,38321
1400000US17031062500,17031062500,"Census Tract 625, Cook County, Illinois",100528,13246
1400000US17031062600,17031062600,"Census Tract 626, Cook County, Illinois",88716,13938
1400000US17031062700,17031062700,"Census Tract 627, Cook County, Illinois",96250,17972
1400000US17031062800,17031062800,"Census Tract 628, Cook County, Illinois",106974,11991
1400000US17031062900,17031062900,"Census Tract 629, Cook County, Illinois",105547,13817
1400000US17031063000,17031063000,"Census Tract 630, Cook County, Illinois",66875,26502
1400000US17031063100,17031063100,"Census Tract 631, Cook County, Illinois",50208,9069
1400000US17031063200,17031063200,"Census Tract 632, Cook County, Illinois",60241,6801
1400000US17031063301,17031063301,"Census Tract 633.01, Cook County, Illinois",51719,4318
1400000US17031063302,17031063302,"Census Tract 633.02, Cook County, Illinois",64738,8893
1400000US17031063303,17031063303,"Census Tract 633.03, Cook County, Illinois",71563,9950
1400000US17031063400,17031063400,"Census Tract 634, Cook County, Illinois",68409,33950
1400000US17031070101,17031070101,"Census Tract 701.01, Cook County, Illinois",56691,9822
1400000US17031070102,17031070102,"Census Tract 701.02, Cook County, Illinois",54190,6541
1400000US17031070103,17031070103,"Census Tract 701.03, Cook County, Illinois",55579,10353
1400000US17031070200,17031070200,"Census Tract 702, Cook County, Illinois",70672,12719
1400000US17031070300,17031070300,"Census Tract 703, Cook County, Illinois",93839,18864
1400000US17031070400,17031070400,"Census Tract 704, Cook County, Illinois",83468,18030
1400000US17031070500,17031070500,"Census Tract 705, Cook County, Illinois",99115,30405
1400000US17031070600,17031070600,"Census Tract 706, Cook County, Illinois",127460,42676
1400000US17031070700,17031070700,"Census Tract 707, Cook County, Illinois",77288,42748
1400000US17031071000,17031071000,"Census Tract 710, Cook County, Illinois",118962,16647
1400000US17031071100,17031071100,"Census Tract 711, Cook County, Illinois",103315,47729
1400000US17031071200,17031071200,"Census Tract 712, Cook County, Illinois",82461,12156
1400000US17031071300,17031071300,"Census Tract 713, Cook County, Illinois",87006,23810
1400000US17031071400,17031071400,"Census Tract 714, Cook County, Illinois",70192,10598
